time	conversion	overall_conversion
6046.85	0.708113	0.708113
6056.85	0.70849	0.70849
6066.86	0.708867	0.708867
6076.86	0.709246	0.709246
6086.86	0.709618	0.709618
6096.86	0.709991	0.709991
6106.86	0.71036	0.71036
6116.86	0.710728	0.710728
6126.86	0.711098	0.711098
6136.86	0.711465	0.711465
6146.86	0.711832	0.711832
6156.86	0.712196	0.712196
6166.86	0.712562	0.712562
6176.86	0.712926	0.712926
6186.86	0.713289	0.713289
6196.86	0.71365	0.71365
6206.86	0.714009	0.714009
6216.86	0.714365	0.714365
6226.86	0.714725	0.714725
6236.86	0.715082	0.715082
6246.86	0.71544	0.71544
6256.86	0.715794	0.715794
6266.87	0.716147	0.716147
6276.87	0.716497	0.716497
6286.87	0.716842	0.716842
6296.87	0.71719	0.71719
6306.87	0.717537	0.717537
6316.87	0.717885	0.717885
6326.87	0.718229	0.718229
6336.87	0.71857	0.71857
6346.87	0.718911	0.718911
6356.87	0.719253	0.719253
6366.87	0.719594	0.719594
6376.87	0.719935	0.719935
6386.87	0.720269	0.720269
6396.87	0.720602	0.720602
6406.87	0.720937	0.720937
6416.87	0.721273	0.721273
6426.87	0.721601	0.721601
6436.88	0.721932	0.721932
6446.88	0.722261	0.722261
6456.88	0.722593	0.722593
6466.88	0.72292	0.72292
6476.88	0.723246	0.723246
6486.88	0.723574	0.723574
6496.88	0.723899	0.723899
6506.88	0.724221	0.724221
6516.88	0.724542	0.724542
6526.88	0.724866	0.724866
6536.88	0.725184	0.725184
6546.88	0.725502	0.725502
6556.88	0.725818	0.725818
6566.88	0.72614	0.72614
6576.88	0.726455	0.726455
6586.88	0.72677	0.72677
6596.88	0.72708	0.72708
6606.88	0.727394	0.727394
6616.88	0.727707	0.727707
6626.89	0.728021	0.728021
6636.89	0.728331	0.728331
6646.89	0.728636	0.728636
6656.89	0.728945	0.728945
6666.89	0.72925	0.72925
6676.89	0.729553	0.729553
6686.89	0.72986	0.72986
6696.89	0.730164	0.730164
6706.89	0.730466	0.730466
6716.89	0.730777	0.730777
6726.89	0.731081	0.731081
6736.89	0.731381	0.731381
6746.89	0.731676	0.731676
6756.89	0.731979	0.731979
6766.89	0.732272	0.732272
6776.89	0.732568	0.732568
6786.9	0.732863	0.732863
6796.9	0.73316	0.73316
6806.9	0.733453	0.733453
6816.9	0.733744	0.733744
6826.9	0.734037	0.734037
6836.9	0.734326	0.734326
6846.9	0.734615	0.734615
6856.9	0.734902	0.734902
6866.9	0.735191	0.735191
6876.9	0.735476	0.735476
6886.9	0.735763	0.735763
6896.9	0.736046	0.736046
6906.9	0.736329	0.736329
6916.9	0.736611	0.736611
6926.9	0.736892	0.736892
6936.9	0.737173	0.737173
6946.91	0.737454	0.737454
6956.91	0.737732	0.737732
6966.91	0.738012	0.738012
6976.91	0.738288	0.738288
6986.91	0.738565	0.738565
6996.91	0.73884	0.73884
7006.91	0.739116	0.739116
7016.91	0.73939	0.73939
7026.91	0.739662	0.739662
7036.91	0.739934	0.739934
7046.91	0.740207	0.740207
7056.91	0.740475	0.740475
7066.91	0.740746	0.740746
7076.91	0.741015	0.741015
7086.91	0.74128	0.74128
7096.91	0.741547	0.741547
7106.91	0.741813	0.741813
7116.91	0.742075	0.742075
7126.92	0.742338	0.742338
7136.92	0.7426	0.7426
7146.92	0.742863	0.742863
7156.92	0.743125	0.743125
7166.92	0.743385	0.743385
7176.92	0.743648	0.743648
7186.92	0.743911	0.743911
7196.92	0.744171	0.744171
7206.92	0.744424	0.744424
7216.92	0.744682	0.744682
7226.92	0.744942	0.744942
7236.92	0.745197	0.745197
7246.92	0.745459	0.745459
7256.92	0.745716	0.745716
7266.92	0.745965	0.745965
7276.92	0.74622	0.74622
7286.92	0.746469	0.746469
7296.92	0.746721	0.746721
7306.92	0.746971	0.746971
7316.92	0.747217	0.747217
7326.92	0.747469	0.747469
7336.93	0.74772	0.74772
7346.93	0.747973	0.747973
7356.93	0.748214	0.748214
7366.93	0.748456	0.748456
7376.93	0.7487	0.7487
7386.93	0.748944	0.748944
7396.93	0.749189	0.749189
7406.93	0.749431	0.749431
7416.93	0.749674	0.749674
7426.93	0.749916	0.749916
7436.93	0.750156	0.750156
7446.93	0.750398	0.750398
7456.93	0.750638	0.750638
7466.93	0.750877	0.750877
7476.94	0.751116	0.751116
7486.94	0.751348	0.751348
7496.94	0.751583	0.751583
7506.94	0.75182	0.75182
7516.94	0.752055	0.752055
7526.94	0.752289	0.752289
7536.94	0.75252	0.75252
7546.94	0.752754	0.752754
7556.94	0.752985	0.752985
7566.94	0.753219	0.753219
7576.94	0.753449	0.753449
7586.94	0.75368	0.75368
7596.94	0.753909	0.753909
7606.94	0.754142	0.754142
7616.94	0.754371	0.754371
7626.95	0.754596	0.754596
7636.95	0.754824	0.754824
7646.95	0.755053	0.755053
7656.95	0.755278	0.755278
7666.95	0.755501	0.755501
7676.95	0.755724	0.755724
7686.95	0.755949	0.755949
