conversion num_unsaturated num_saturated num_HHbond
0.739934 6646 6050 2219
0.740207 6647 6051 2219
0.740475 6648 6052 2219
0.740746 6648 6052 2220
0.741015 6649 6052 2220
0.74128 6649 6052 2221
0.741547 6650 6052 2221
0.741813 6651 6053 2221
0.742075 6652 6054 2221
0.742338 6652 6054 2221
0.7426 6652 6054 2221
0.742863 6653 6055 2222
0.743125 6653 6055 2222
0.743385 6653 6055 2222
0.743648 6654 6055 2222
0.743911 6655 6055 2222
0.744171 6655 6055 2222
0.744424 6656 6055 2222
0.744682 6656 6055 2222
0.744942 6657 6055 2222
0.745197 6657 6055 2222
0.745459 6658 6055 2222
0.745716 6658 6055 2222
0.745965 6658 6055 2222
0.74622 6659 6055 2222
0.746469 6659 6055 2222
0.746721 6659 6055 2222
0.746971 6659 6055 2222
0.747217 6659 6055 2222
0.747469 6659 6055 2222
0.74772 6660 6055 2222
0.747973 6660 6055 2222
0.748214 6660 6055 2222
0.748456 6661 6055 2222
0.7487 6663 6055 2222
0.748944 6665 6057 2222
0.749189 6665 6057 2222
0.749431 6665 6057 2222
0.749674 6665 6057 2222
0.749916 6665 6057 2222
0.750156 6667 6058 2222
0.750398 6668 6059 2222
0.750638 6668 6059 2222
0.750877 6668 6059 2222
0.751116 6668 6059 2222
0.751348 6668 6059 2222
0.751583 6668 6059 2222
0.75182 6668 6059 2222
0.752055 6668 6059 2222
0.752289 6668 6059 2223
0.75252 6668 6059 2223
0.752754 6668 6059 2223
0.752985 6668 6059 2223
0.753219 6669 6060 2223
0.753449 6670 6061 2223
0.75368 6671 6062 2223
0.753909 6671 6062 2223
0.754142 6671 6062 2223
0.754371 6672 6063 2223
0.754596 6673 6064 2223
0.754824 6673 6064 2223
0.755053 6673 6064 2223
0.755278 6674 6065 2223
0.755501 6675 6065 2223
0.755724 6675 6065 2223
0.755949 6675 6065 2223
0.756173 6677 6065 2223
0.7564 6677 6065 2223
0.756622 6677 6065 2223
0.756843 6677 6065 2223
0.757064 6677 6065 2223
0.757284 6677 6065 2223
0.757503 6677 6065 2223
0.757723 6677 6065 2223
0.757943 6677 6065 2223
0.758159 6677 6065 2223
0.758376 6677 6065 2223
0.758591 6678 6065 2223
0.758809 6679 6066 2223
0.759025 6680 6067 2223
0.759238 6680 6067 2223
0.759449 6681 6068 2223
0.759661 6681 6068 2223
0.759873 6681 6068 2223
0.760085 6681 6068 2223
0.760297 6681 6068 2223
0.760507 6681 6068 2224
0.760718 6681 6068 2224
0.760927 6682 6069 2224
0.761139 6682 6069 2224
0.761347 6682 6069 2224
0.761556 6682 6069 2224
0.761764 6682 6069 2224
0.761969 6682 6069 2224
0.762171 6682 6069 2224
0.762375 6682 6069 2225
0.762577 6682 6069 2225
0.762783 6682 6069 2225
0.762989 6682 6069 2225
0.76319 6683 6069 2225
0.76339 6683 6069 2225
0.763592 6683 6069 2225
0.763793 6683 6069 2225
0.763994 6683 6069 2225
0.764196 6683 6069 2225
0.764395 6684 6069 2225
0.764594 6687 6072 2225
0.764795 6688 6072 2225
0.764992 6688 6072 2225
0.765188 6689 6073 2225
0.765384 6689 6073 2225
0.76558 6690 6074 2225
0.765774 6691 6074 2226
0.765974 6691 6074 2226
0.766167 6691 6074 2226
0.766362 6692 6074 2227
0.766554 6692 6074 2227
0.766745 6692 6074 2227
0.766937 6692 6074 2227
0.767129 6692 6074 2227
0.76732 6692 6074 2227
0.767511 6692 6074 2227
0.767702 6692 6074 2227
0.767892 6692 6074 2227
0.768082 6692 6074 2227
0.768269 6692 6074 2227
0.768461 6692 6074 2227
0.76865 6692 6074 2227
0.768838 6692 6074 2227
0.769026 6692 6074 2227
0.769213 6692 6074 2227
